# Ratio Measurement - KEITHLEY INSTRUMENTS INC.,MODEL 2100,1194515,01.12-01-01
# Main Channel: 100V, Reference: Auto
# Start: 2025-12-02 15:01:15
# Stop: 2025-12-03 08:00:00
# File: c:\WinPython\notebooks\HiPES\Francois\Driftmessung_2025-12-02_15-01-15.csv

Datum_Zeit,Ratiomesswert,Gleitender_Mittelwert,Gesamtmittelwert
2025-12-02 15:05:53,10.0312176000,10.0312230933,10.0312324604
2025-12-02 15:05:54,10.0312160000,10.0312238933,10.0312324014
2025-12-02 15:05:55,10.0312344000,10.0312256000,10.0312324086
2025-12-02 15:05:56,10.0312432000,10.0312306667,10.0312324470
2025-12-02 15:05:57,10.0312224000,10.0312314133,10.0312324113
2025-12-02 15:05:58,10.0312208000,10.0312319467,10.0312323703
2025-12-02 15:05:59,10.0311832000,10.0312290133,10.0312321972
2025-12-02 15:05:59,10.0312008000,10.0312249067,10.0312320870
2025-12-02 15:06:00,10.0312384000,10.0312259733,10.0312321091
2025-12-02 15:06:02,10.0312128000,10.0312234667,10.0312320418
2025-12-02 15:06:03,10.0312264000,10.0312225067,10.0312320222
2025-12-02 15:06:04,10.0312168000,10.0312225600,10.0312319696
2025-12-02 15:06:05,10.0312008000,10.0312197867,10.0312318621
2025-12-02 15:06:06,10.0312416000,10.0312201600,10.0312318955
2025-12-02 15:06:07,10.0312072000,10.0312188267,10.0312318110
2025-12-02 15:06:08,10.0312376000,10.0312201600,10.0312318307
2025-12-02 15:06:08,10.0312208000,10.0312204800,10.0312317932
2025-12-02 15:06:09,10.0312504000,10.0312215467,10.0312318563
2025-12-02 15:06:10,10.0312328000,10.0312208533,10.0312318595
2025-12-02 15:06:11,10.0312232000,10.0312209067,10.0312318303
2025-12-02 15:06:13,10.0312464000,10.0312226133,10.0312318792
2025-12-02 15:06:14,10.0311944000,10.0312233600,10.0312317538
2025-12-02 15:06:15,10.0311992000,10.0312232533,10.0312316453
2025-12-02 15:06:15,10.0312280000,10.0312225600,10.0312316332
2025-12-02 15:06:16,10.0311888000,10.0312209600,10.0312314914
2025-12-02 15:06:17,10.0311800000,10.0312178667,10.0312313215
2025-12-02 15:06:18,10.0311976000,10.0312165867,10.0312312105
2025-12-02 15:06:19,10.0312144000,10.0312174933,10.0312311554
2025-12-02 15:06:20,10.0311744000,10.0312130133,10.0312309699
2025-12-02 15:06:21,10.0311992000,10.0312124800,10.0312308664
2025-12-02 15:06:22,10.0312536000,10.0312135467,10.0312309403
2025-12-02 15:06:23,10.0312320000,10.0312142933,10.0312309437
2025-12-02 15:06:24,10.0311976000,10.0312107733,10.0312308361
2025-12-02 15:06:25,10.0312384000,10.0312111467,10.0312308605
2025-12-02 15:06:26,10.0312112000,10.0312103467,10.0312307974
2025-12-02 15:06:28,10.0312544000,10.0312108800,10.0312308728
2025-12-02 15:06:29,10.0312216000,10.0312126933,10.0312308433
2025-12-02 15:06:30,10.0311688000,10.0312106667,10.0312306463
2025-12-02 15:06:31,10.0312120000,10.0312096000,10.0312305873
2025-12-02 15:06:32,10.0311496000,10.0312069867,10.0312303319
2025-12-02 15:06:33,10.0311784000,10.0312068800,10.0312301686
2025-12-02 15:06:34,10.0311768000,10.0312054933,10.0312300013
2025-12-02 15:06:35,10.0311536000,10.0312014400,10.0312297625
2025-12-02 15:06:36,10.0312064000,10.0312035733,10.0312296897
2025-12-02 15:06:37,10.0311840000,10.0312025600,10.0312295478
2025-12-02 15:06:38,10.0311640000,10.0311965867,10.0312293449
2025-12-02 15:06:39,10.0311792000,10.0311930667,10.0312291901
2025-12-02 15:06:40,10.0311976000,10.0311930667,10.0312290929
2025-12-02 15:06:41,10.0312080000,10.0311910400,10.0312290282
2025-12-02 15:06:42,10.0311992000,10.0311902400,10.0312289370
2025-12-02 15:06:43,10.0311896000,10.0311859200,10.0312288171
2025-12-02 15:06:44,10.0312040000,10.0311847467,10.0312287416
2025-12-02 15:06:45,10.0311488000,10.0311834133,10.0312284994
2025-12-02 15:06:46,10.0311800000,10.0311812800,10.0312283529
2025-12-02 15:06:47,10.0311920000,10.0311841067,10.0312282434
2025-12-02 15:06:48,10.0311632000,10.0311830933,10.0312280480
2025-12-02 15:06:49,10.0312224000,10.0311861333,10.0312280311
2025-12-02 15:06:50,10.0312264000,10.0311909867,10.0312280263
2025-12-02 15:06:51,10.0312128000,10.0311914133,10.0312279810
2025-12-02 15:06:52,10.0312096000,10.0311931200,10.0312279264
2025-12-02 15:06:53,10.0311824000,10.0311943467,10.0312277917
2025-12-02 15:06:54,10.0311928000,10.0311952533,10.0312276885
2025-12-02 15:06:55,10.0312128000,10.0311962667,10.0312276447
2025-12-02 15:06:56,10.0312136000,10.0311966400,10.0312276035
2025-12-02 15:06:57,10.0312184000,10.0311979200,10.0312275766
2025-12-02 15:06:58,10.0312256000,10.0312003200,10.0312275708
2025-12-02 15:06:59,10.0312280000,10.0312019200,10.0312275721
2025-12-02 15:07:00,10.0312128000,10.0312061867,10.0312275293
2025-12-02 15:07:01,10.0312424000,10.0312103467,10.0312275723
2025-12-02 15:07:02,10.0312160000,10.0312119467,10.0312275389
2025-12-02 15:07:03,10.0312168000,10.0312155200,10.0312275080
2025-12-02 15:07:04,10.0312240000,10.0312156267,10.0312274980
2025-12-02 15:07:05,10.0312216000,10.0312153067,10.0312274811
2025-12-02 15:07:06,10.0312120000,10.0312152533,10.0312274370
2025-12-02 15:07:07,10.0312224000,10.0312161067,10.0312274227
2025-12-02 15:07:08,10.0312360000,10.0312196800,10.0312274470
2025-12-02 15:07:09,10.0312320000,10.0312222933,10.0312274599
2025-12-02 15:07:10,10.0312344000,10.0312237333,10.0312274794
2025-12-02 15:07:11,10.0312264000,10.0312245867,10.0312274764
2025-12-02 15:07:12,10.0312216000,10.0312248000,10.0312274599
2025-12-02 15:07:13,10.0312144000,10.0312240533,10.0312274235
2025-12-02 15:07:14,10.0312288000,10.0312241067,10.0312274273
2025-12-02 15:07:15,10.0312224000,10.0312247467,10.0312274133
2025-12-02 15:07:16,10.0311872000,10.0312210667,10.0312273019
2025-12-02 15:07:17,10.0312192000,10.0312212800,10.0312272796
2025-12-02 15:07:17,10.0312320000,10.0312222933,10.0312272926
2025-12-02 15:07:19,10.0312264000,10.0312224533,10.0312272901
2025-12-02 15:07:20,10.0312264000,10.0312227733,10.0312272877
2025-12-02 15:07:21,10.0312080000,10.0312225067,10.0312272350
2025-12-02 15:07:22,10.0312264000,10.0312227733,10.0312272327
2025-12-02 15:07:23,10.0312416000,10.0312231467,10.0312272717
2025-12-02 15:07:24,10.0312112000,10.0312217600,10.0312272282
2025-12-02 15:07:25,10.0312480000,10.0312226667,10.0312272843
2025-12-02 15:07:26,10.0312224000,10.0312224000,10.0312272712
2025-12-02 15:07:26,10.0312232000,10.0312225067,10.0312272602
2025-12-02 15:07:27,10.0312256000,10.0312232533,10.0312272558
2025-12-02 15:07:28,10.0312064000,10.0312217600,10.0312272000
